,Citations,Likes,en.search.wordpress.com,en.wikipedia.org,europepmc.org,f1000.com,scholar.google.com,twitter.com,www.citeulike.org,Pubmed_Citations,Scopus
3.0,8.0,,,,9.0,3.0,0.0,,,8.0,15.0
5.0,27.0,1.0,,4.0,24.0,3.0,0.0,,,17.0,39.0
7.0,21.0,,,7.0,18.0,,0.0,,,22.0,36.0
11.0,26.0,,,,43.0,,0.0,,1.0,38.0,51.0
12.0,1.0,,,,3.0,,0.0,,,3.0,3.0
13.0,19.0,,,1.0,20.0,4.0,0.0,,1.0,17.0,24.0
31.0,,,,,2.0,,0.0,,,2.0,3.0
36.0,6.0,2.0,,,7.0,,0.0,,1.0,5.0,8.0
47.0,36.0,3.0,,,51.0,,0.0,,1.0,37.0,57.0
48.0,22.0,,,,33.0,,0.0,,1.0,30.0,39.0
49.0,82.0,,,6.0,121.0,15.0,0.0,1.0,,90.0,1.0
51.0,,2.0,,,2.0,,0.0,,,2.0,2.0
65.0,24.0,9.0,,1.0,32.0,2.0,0.0,,2.0,27.0,41.0
67.0,15.0,,,,12.0,,0.0,,,9.0,13.0
68.0,5.0,,,,11.0,,0.0,,3.0,10.0,10.0
70.0,7.0,8.0,,,12.0,,0.0,,,11.0,17.0
78.0,6.0,,,2.0,10.0,3.0,0.0,,1.0,9.0,13.0
93.0,3.0,,,,7.0,,0.0,,,7.0,7.0
102.0,15.0,,,,18.0,,0.0,,,13.0,23.0
105.0,2.0,,,,1.0,,0.0,,,1.0,3.0
109.0,28.0,,,,32.0,2.0,0.0,,,38.0,32.0
116.0,12.0,,,3.0,12.0,,0.0,,1.0,8.0,19.0
117.0,13.0,,,,17.0,,0.0,,,15.0,19.0
133.0,5.0,,,5.0,7.0,,0.0,,,5.0,14.0
160.0,10.0,3.0,,,12.0,,0.0,,,14.0,20.0
170.0,8.0,4.0,,,11.0,,0.0,,,10.0,9.0
171.0,6.0,,,,9.0,,0.0,,,7.0,9.0
173.0,14.0,,,,17.0,,0.0,,,13.0,17.0
178.0,13.0,,,,13.0,,0.0,,1.0,8.0,16.0
181.0,6.0,,,,8.0,,0.0,,,7.0,13.0
183.0,16.0,,,1.0,13.0,3.0,0.0,,,3.0,21.0
184.0,3.0,,,2.0,5.0,,0.0,,,4.0,5.0
190.0,8.0,,,,17.0,1.0,0.0,,,16.0,14.0
205.0,38.0,,,,49.0,,0.0,,1.0,35.0,63.0
218.0,11.0,,,6.0,10.0,,0.0,,,10.0,11.0
220.0,3.0,,,,8.0,,0.0,,,7.0,
230.0,10.0,,,5.0,14.0,,0.0,,,15.0,19.0
231.0,9.0,,,,15.0,1.0,0.0,,1.0,14.0,17.0
247.0,2.0,,,,5.0,2.0,0.0,,,5.0,7.0
248.0,21.0,,,13.0,16.0,,0.0,,,13.0,23.0
260.0,22.0,2.0,,,22.0,,0.0,,,19.0,48.0
269.0,20.0,,,,21.0,,0.0,,1.0,19.0,41.0
278.0,1.0,,,,2.0,,0.0,,,1.0,1.0
288.0,8.0,,,,11.0,,0.0,,,11.0,13.0
290.0,9.0,,,3.0,8.0,,0.0,,,6.0,18.0
291.0,35.0,2.0,,,25.0,2.0,0.0,,1.0,24.0,39.0
299.0,13.0,11.0,,,20.0,,0.0,,,17.0,21.0
306.0,6.0,,,,9.0,,0.0,,,8.0,11.0
311.0,27.0,,,,18.0,,0.0,,2.0,26.0,4.0
312.0,14.0,,,,18.0,,0.0,,1.0,15.0,19.0
321.0,,,,,1.0,,0.0,3.0,2.0,1.0,1.0
324.0,7.0,,,,5.0,,0.0,,,5.0,9.0
327.0,9.0,,,,13.0,,0.0,,,15.0,11.0
329.0,3.0,1.0,,,5.0,,0.0,,2.0,4.0,9.0
333.0,13.0,,,10.0,15.0,,0.0,,1.0,15.0,16.0
334.0,7.0,,,,8.0,,0.0,,,9.0,8.0
336.0,11.0,,,2.0,5.0,,0.0,,1.0,6.0,13.0
337.0,4.0,,,,3.0,,0.0,,,4.0,7.0
348.0,20.0,1.0,,,30.0,,0.0,2.0,8.0,29.0,33.0
354.0,13.0,,,,19.0,,0.0,1.0,1.0,20.0,25.0
358.0,4.0,,,,4.0,2.0,0.0,,,5.0,9.0
362.0,11.0,5.0,,,13.0,1.0,0.0,,1.0,8.0,25.0
367.0,9.0,,,,9.0,,0.0,,1.0,7.0,13.0
378.0,2.0,,,3.0,3.0,,0.0,,,3.0,3.0
380.0,,,,,2.0,2.0,0.0,,,2.0,1.0
400.0,12.0,1.0,,,17.0,,0.0,,,17.0,19.0
411.0,1.0,,,,1.0,,0.0,,1.0,2.0,2.0
421.0,3.0,,,,3.0,,0.0,,,6.0,9.0
422.0,29.0,,,4.0,36.0,,0.0,,,28.0,45.0
425.0,9.0,,,,8.0,,0.0,,,9.0,18.0
426.0,3.0,,,,8.0,,0.0,,2.0,6.0,7.0
429.0,3.0,,,,3.0,,0.0,,,3.0,8.0
435.0,2.0,2.0,,2.0,10.0,,0.0,,1.0,9.0,14.0
444.0,10.0,,,,17.0,4.0,0.0,,,15.0,19.0
458.0,21.0,65.0,,,44.0,2.0,0.0,,,46.0,47.0
459.0,5.0,,,,14.0,5.0,0.0,,,11.0,12.0
461.0,65.0,,,2.0,75.0,18.0,0.0,,1.0,73.0,99.0
467.0,1.0,,,,1.0,,0.0,,,2.0,
471.0,154.0,3.0,1.0,2.0,199.0,4.0,0.0,,1.0,181.0,270.0
473.0,8.0,,,,12.0,1.0,0.0,,1.0,17.0,23.0
481.0,8.0,,,,9.0,1.0,0.0,,,9.0,14.0
