MS NO,MS TYPE,Revision Number,Decision_Type,Editor_As_Reviewer,Manuscript_Number,Received Date,Decision Date,e_Life_Decision_Time,Total_Time,Author_Time
1,1,0,Reject Full Submission,True,1,2012-10-26,2012-11-26,31.0,166.0,129.0
2,1,0,Reject Full Submission,True,2,2012-05-24,2012-06-29,36.0,41.0,1.0
3,1,0,Revise Full Submission,True,3,2012-06-27,2012-07-25,28.0,77.0,6.0
3,1,1,Accept Full Submission,True,3,2012-09-05,2012-09-05,0.0,77.0,42.0
5,1,0,Revise Full Submission,True,5,2012-06-28,2012-07-25,27.0,54.0,3.0
5,1,1,Accept Full Submission,True,5,2012-08-13,2012-08-13,0.0,54.0,19.0
7,1,0,Revise Full Submission,True,7,2012-05-07,2012-06-20,44.0,65.0,0.0
7,1,1,Accept Full Submission,True,7,2012-07-10,2012-07-11,1.0,65.0,20.0
11,1,0,Revise Full Submission,True,11,2012-07-02,2012-08-09,38.0,86.0,5.0
11,1,1,Revise Full Submission,True,11,2012-09-03,2012-09-10,7.0,86.0,25.0
11,1,2,Accept Full Submission,True,11,2012-09-13,2012-09-16,3.0,86.0,3.0
12,1,0,Revise Full Submission,True,12,2012-05-28,2012-07-19,52.0,209.0,20.0
12,1,1,Accept Full Submission,True,12,2012-11-05,2012-11-29,24.0,209.0,109.0
13,1,0,Revise Full Submission,True,13,2012-05-30,2012-06-29,30.0,57.0,6.0
13,1,1,Accept Full Submission,True,13,2012-07-18,2012-07-18,0.0,57.0,19.0
14,1,0,Reject Full Submission,True,14,2012-06-07,2012-06-27,20.0,28.0,2.0
31,1,0,Revise Full Submission,True,31,2012-07-12,2012-07-31,19.0,55.0,
31,1,1,Accept Full Submission,True,31,2012-09-03,2012-09-05,2.0,55.0,34.0
33,1,0,Reject Full Submission,True,33,2012-07-11,2012-07-25,14.0,26.0,7.0
36,1,0,Revise Full Submission,True,36,2012-07-23,2012-08-11,19.0,389.0,15.0
36,1,1,Revise Full Submission,True,36,2013-04-29,2013-05-17,18.0,389.0,261.0
36,1,2,Revise Full Submission,True,36,2013-06-24,2013-07-05,11.0,389.0,38.0
36,1,3,Accept Full Submission,True,36,2013-07-26,2013-07-27,1.0,389.0,21.0
37,1,0,Reject Full Submission,True,37,2012-07-13,2012-08-07,25.0,35.0,3.0
39,1,0,Reject Full Submission,True,39,2012-07-10,2012-08-03,24.0,31.0,4.0
45,1,0,Reject Full Submission,True,45,2012-07-17,2012-08-17,31.0,42.0,8.0
47,1,0,Revise Full Submission,True,47,2012-07-10,2012-08-17,38.0,110.0,0.0
47,1,1,Accept Full Submission,True,47,2012-10-24,2012-10-24,0.0,110.0,68.0
48,1,0,Revise Full Submission,True,48,2012-07-13,2012-07-16,3.0,14.0,4.0
48,1,1,Accept Full Submission,True,48,2012-07-23,2012-07-23,0.0,14.0,7.0
49,1,0,Revise Full Submission,True,49,2012-07-17,2012-08-02,16.0,56.0,5.0
49,1,1,Accept Full Submission,True,49,2012-09-04,2012-09-05,1.0,56.0,33.0
51,1,0,Revise Full Submission,False,51,2012-07-20,2012-08-28,39.0,77.0,2.0
51,1,1,Accept Full Submission,False,51,2012-09-24,2012-09-25,1.0,77.0,27.0
52,1,0,Reject Full Submission,True,52,2012-07-18,2012-08-29,42.0,50.0,3.0
65,1,0,Revise Full Submission,True,65,2012-07-18,2012-08-10,23.0,54.0,1.0
65,1,1,Accept Full Submission,True,65,2012-08-30,2012-09-04,5.0,54.0,20.0
67,1,0,Revise Full Submission,True,67,2012-07-19,2012-08-19,31.0,84.0,1.0
67,1,1,Accept Full Submission,True,67,2012-09-17,2012-10-04,17.0,84.0,29.0
68,1,0,Revise Full Submission,True,68,2012-07-18,2012-08-14,27.0,45.0,5.0
68,1,1,Accept Full Submission,True,68,2012-08-24,2012-08-26,2.0,45.0,10.0
70,1,0,Revise Full Submission,True,70,2012-07-25,2012-08-15,21.0,68.0,9.0
70,1,1,Accept Full Submission,True,70,2012-09-15,2012-09-18,3.0,68.0,31.0
78,1,0,Revise Full Submission,True,78,2012-07-20,2012-08-21,32.0,71.0,3.0
78,1,1,Accept Full Submission,True,78,2012-09-24,2012-09-25,1.0,71.0,34.0
88,1,0,Reject Full Submission,True,88,2012-07-24,2012-08-16,23.0,28.0,1.0
93,1,0,Revise Full Submission,True,93,2012-07-31,2012-08-30,30.0,72.0,5.0
93,1,1,Accept Full Submission,True,93,2012-10-03,2012-10-04,1.0,72.0,34.0
94,1,0,Reject Full Submission,True,94,2012-08-09,2012-09-08,30.0,46.0,14.0
102,1,0,Revise Full Submission,True,102,2012-07-30,2012-08-23,24.0,41.0,3.0
102,1,1,Revise Full Submission,True,102,2012-08-31,2012-09-01,1.0,41.0,8.0
102,1,2,Accept Full Submission,True,102,2012-09-04,2012-09-05,1.0,41.0,3.0
103,1,0,Reject Full Submission,True,103,2012-08-07,2012-08-30,23.0,33.0,8.0
105,1,0,Revise Full Submission,True,105,2012-08-14,2012-09-11,28.0,148.0,13.0
105,1,1,Accept Full Submission,True,105,2012-12-19,2012-12-21,2.0,148.0,99.0
108,1,0,Reject Full Submission,True,108,2012-07-30,2012-08-31,32.0,35.0,2.0
109,1,0,Revise Full Submission,True,109,2012-07-30,2012-08-28,29.0,53.0,3.0
109,1,1,Accept Full Submission,True,109,2012-09-18,2012-09-18,0.0,53.0,21.0
116,1,0,Revise Full Submission,True,116,2012-08-14,2012-09-10,27.0,92.0,5.0
116,1,1,Accept Full Submission,True,116,2012-10-24,2012-10-31,7.0,92.0,44.0
117,1,0,Revise Full Submission,True,117,2012-08-07,2012-08-22,15.0,79.0,5.0
117,1,1,Revise Full Submission,True,117,2012-10-03,2012-10-10,7.0,79.0,42.0
117,1,2,Accept Full Submission,True,117,2012-10-17,2012-10-18,1.0,79.0,7.0
133,1,0,Revise Full Submission,True,133,2012-08-20,2012-09-18,29.0,172.0,4.0
133,1,1,Revise Full Submission,True,133,2013-01-10,2013-01-22,12.0,172.0,114.0
133,1,2,Accept Full Submission,True,133,2013-01-24,2013-01-28,4.0,172.0,2.0
142,1,0,Reject Full Submission,True,142,2012-08-22,2012-09-07,16.0,25.0,6.0
146,1,0,Reject Full Submission,True,146,2012-08-22,2012-09-15,24.0,32.0,6.0
147,1,0,Reject Full Submission,True,147,2012-09-11,2012-10-12,31.0,59.0,27.0
150,1,0,Reject Full Submission,True,150,2012-08-24,2012-09-11,18.0,28.0,5.0
160,1,0,Revise Full Submission,True,160,2012-09-13,2012-10-01,18.0,64.0,23.0
160,1,1,Accept Full Submission,True,160,2012-10-17,2012-10-18,1.0,64.0,16.0
170,1,0,Revise Full Submission,True,170,2012-08-21,2012-09-17,27.0,83.0,2.0
170,1,1,Accept Full Submission,True,170,2012-11-07,2012-11-09,2.0,83.0,51.0
171,1,0,Revise Full Submission,True,171,2012-08-24,2012-09-17,24.0,55.0,5.0
171,1,1,Revise Full Submission,True,171,2012-10-08,2012-10-11,3.0,55.0,21.0
171,1,2,Accept Full Submission,True,171,2012-10-12,2012-10-12,0.0,55.0,1.0
173,1,0,Revise Full Submission,True,173,2012-08-24,2012-09-01,8.0,22.0,2.0
173,1,1,Accept Full Submission,True,173,2012-09-12,2012-09-12,0.0,22.0,11.0
178,1,0,Revise Full Submission,True,178,2012-08-29,2012-09-19,21.0,99.0,6.0
178,1,1,Revise Full Submission,True,178,2012-11-15,2012-11-16,1.0,99.0,57.0
178,1,2,Accept Full Submission,True,178,2012-11-26,2012-11-29,3.0,99.0,10.0
181,1,0,Revise Full Submission,True,181,2012-09-03,2012-10-10,37.0,61.0,4.0
181,1,1,Accept Full Submission,True,181,2012-10-22,2012-10-23,1.0,61.0,12.0
183,1,0,Revise Full Submission,True,183,2012-09-03,2012-10-08,35.0,115.0,6.0
183,1,1,Revise Full Submission,True,183,2012-12-05,2012-12-12,7.0,115.0,58.0
183,1,2,Accept Full Submission,True,183,2012-12-17,2012-12-17,0.0,115.0,5.0
184,1,0,Revise Full Submission,True,184,2012-08-30,2012-09-21,22.0,55.0,2.0
184,1,1,Revise Full Submission,True,184,2012-10-10,2012-10-17,7.0,55.0,19.0
184,1,2,Accept Full Submission,True,184,2012-10-19,2012-10-19,0.0,55.0,2.0
190,1,0,Revise Full Submission,True,190,2012-09-04,2012-09-26,22.0,151.0,7.0
190,1,1,Accept Full Submission,True,190,2013-01-21,2013-01-25,4.0,151.0,117.0
205,1,0,Revise Full Submission,True,205,2012-09-06,2012-10-15,39.0,70.0,1.0
205,1,1,Accept Full Submission,True,205,2012-11-12,2012-11-12,0.0,70.0,28.0
218,1,0,Revise Full Submission,True,218,2012-09-10,2012-10-03,23.0,143.0,2.0
218,1,1,Revise Full Submission,True,218,2012-12-20,2013-01-14,25.0,143.0,78.0
218,1,2,Accept Full Submission,True,218,2013-01-25,2013-01-25,0.0,143.0,11.0
220,1,0,Revise Full Submission,False,220,2012-09-07,2012-10-21,44.0,317.0,1.0
220,1,1,Revise Full Submission,False,220,2013-06-06,2013-07-09,33.0,317.0,228.0
220,1,2,Accept Full Submission,False,220,2013-07-15,2013-07-18,3.0,317.0,6.0
230,1,0,Revise Full Submission,True,230,2012-09-24,2012-10-18,24.0,78.0,12.0
230,1,1,Revise Full Submission,True,230,2012-11-06,2012-11-21,15.0,78.0,19.0
230,1,2,Accept Full Submission,True,230,2012-11-27,2012-11-27,0.0,78.0,6.0
231,1,0,Revise Full Submission,True,231,2012-09-21,2012-10-31,40.0,77.0,10.0
231,1,1,Accept Full Submission,True,231,2012-11-19,2012-11-26,7.0,77.0,19.0
233,1,0,Reject Full Submission,True,233,2012-09-24,2012-10-12,18.0,31.0,9.0
239,1,0,Reject Full Submission,True,239,2012-09-15,2012-10-04,19.0,22.0,3.0
246,1,0,Reject Full Submission,True,246,2012-09-25,2012-10-20,25.0,36.0,5.0
247,1,0,Revise Full Submission,True,247,2012-09-19,2012-10-09,20.0,327.0,2.0
247,1,1,Revise Full Submission,True,247,2012-12-05,2012-12-07,2.0,327.0,57.0
247,1,2,Accept Full Submission,True,247,2013-07-03,2013-08-07,35.0,327.0,208.0
248,1,0,Revise Full Submission,True,248,2012-09-19,2012-10-23,34.0,66.0,2.0
248,1,1,Accept Full Submission,True,248,2012-11-09,2012-11-19,10.0,66.0,17.0
255,1,0,Reject Full Submission,True,255,2012-09-21,2012-10-10,19.0,22.0,2.0
260,1,0,Revise Full Submission,True,260,2012-09-24,2012-11-05,42.0,139.0,2.0
260,1,1,Revise Full Submission,True,260,2013-01-04,2013-01-26,22.0,139.0,60.0
260,1,2,Accept Full Submission,True,260,2013-02-05,2013-02-05,0.0,139.0,10.0
268,1,0,Reject Full Submission,False,268,2012-10-01,2012-11-14,44.0,52.0,5.0
269,1,0,Revise Full Submission,True,269,2012-10-02,2012-11-05,34.0,129.0,8.0
269,1,1,Revise Full Submission,True,269,2012-12-17,2013-01-26,40.0,129.0,42.0
269,1,2,Accept Full Submission,True,269,2013-01-30,2013-01-30,0.0,129.0,4.0
271,1,0,Revise Full Submission,True,271,2012-10-25,2012-12-10,46.0,306.0,30.0
271,1,1,Reject Full Submission,True,271,2013-06-27,2013-07-27,30.0,306.0,199.0
273,1,0,Reject Full Submission,True,273,2012-09-27,2012-10-22,25.0,28.0,2.0
278,1,0,Revise Full Submission,True,278,2012-10-11,2012-11-19,39.0,146.0,8.0
278,1,1,Revise Full Submission,True,278,2013-01-29,2013-02-18,20.0,146.0,71.0
278,1,2,Accept Full Submission,True,278,2013-02-19,2013-02-19,0.0,146.0,1.0
288,1,0,Revise Full Submission,True,288,2012-10-04,2012-11-14,41.0,149.0,4.0
288,1,1,Revise Full Submission,True,288,2012-12-29,2013-01-30,32.0,149.0,45.0
288,1,2,Accept Full Submission,True,288,2013-02-11,2013-02-23,12.0,149.0,12.0
290,1,0,Revise Full Submission,True,290,2012-10-03,2012-10-30,27.0,94.0,2.0
290,1,1,Accept Full Submission,True,290,2012-12-24,2012-12-31,7.0,94.0,55.0
291,1,0,Revise Full Submission,True,291,2012-10-05,2012-10-24,19.0,102.0,4.0
291,1,1,Accept Full Submission,True,291,2012-12-21,2013-01-08,18.0,102.0,58.0
296,1,0,Reject Full Submission,True,296,2012-10-11,2012-10-30,19.0,29.0,6.0
298,1,0,Reject Full Submission,True,298,2012-10-18,2012-11-27,40.0,56.0,2.0
299,1,0,Revise Full Submission,True,299,2012-10-22,2012-12-06,45.0,205.0,17.0
299,1,1,Revise Full Submission,True,299,2012-12-20,2013-01-21,32.0,205.0,14.0
299,1,2,Accept Full Submission,True,299,2013-04-18,2013-04-25,7.0,205.0,87.0
306,1,0,Revise Full Submission,True,306,2012-10-17,2012-11-14,28.0,63.0,8.0
306,1,1,Revise Full Submission,True,306,2012-11-30,2012-12-06,6.0,63.0,16.0
306,1,2,Accept Full Submission,True,306,2012-12-07,2012-12-08,1.0,63.0,1.0
311,1,0,Revise Full Submission,True,311,2012-10-10,2012-10-17,7.0,15.0,1.0
311,1,1,Revise Full Submission,True,311,2012-10-22,2012-10-22,0.0,15.0,5.0
311,1,2,Accept Full Submission,True,311,2012-10-23,2012-10-23,0.0,15.0,1.0
312,1,0,Revise Full Submission,True,312,2012-10-29,2012-11-20,22.0,114.0,20.0
312,1,1,Accept Full Submission,True,312,2013-01-17,2013-01-31,14.0,114.0,58.0
316,1,0,Reject Full Submission,True,316,2012-10-17,2012-11-13,27.0,35.0,6.0
318,1,0,Reject Full Submission,True,318,2012-10-25,2012-12-07,43.0,58.0,6.0
321,1,0,Revise Full Submission,True,321,2012-10-17,2012-11-13,27.0,75.0,4.0
321,1,1,Revise Full Submission,True,321,2012-12-05,2012-12-11,6.0,75.0,22.0
321,1,2,Revise Full Submission,True,321,2012-12-19,2012-12-20,1.0,75.0,8.0
321,1,3,Accept Full Submission,True,321,2012-12-24,2012-12-26,2.0,75.0,4.0
324,1,0,Revise Full Submission,True,324,2012-10-30,2012-12-04,35.0,202.0,10.0
